Team,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,53,29,0.646,—,108.0,105.4,2.25
CLE,51,31,0.622,2.0,110.3,107.2,2.87
TOR,51,31,0.622,2.0,106.9,102.6,3.65
WAS,49,33,0.598,4.0,109.2,107.4,1.36
ATL,43,39,0.524,10.0,103.2,104.0,-1.23
MIL,42,40,0.512,11.0,103.6,103.8,-0.45
IND,42,40,0.512,11.0,105.1,105.3,-0.64
CHI,41,41,0.5,12.0,102.9,102.4,0.03
MIA,41,41,0.5,12.0,103.2,102.1,0.77
DET,37,45,0.451,16.0,101.3,102.5,-1.29
CHA,36,46,0.439,17.0,104.9,104.7,-0.07
NYK,31,51,0.378,22.0,104.3,108.0,-3.87
ORL,29,53,0.354,24.0,101.1,107.6,-6.61
PHI,28,54,0.341,25.0,102.4,108.1,-5.83
BKN,20,62,0.244,33.0,105.8,112.5,-6.74
GSW,67,15,0.817,—,115.9,104.3,11.35
SAS,61,21,0.744,6.0,105.3,98.1,7.13
HOU,55,27,0.671,12.0,115.3,109.6,5.84
LAC,51,31,0.622,16.0,108.7,104.4,4.42
UTA,51,31,0.622,16.0,100.7,96.8,4.0
OKC,47,35,0.573,20.0,106.6,105.8,1.14
MEM,43,39,0.524,24.0,100.5,100.0,0.96
POR,41,41,0.5,26.0,107.9,108.5,-0.23
DEN,40,42,0.488,27.0,111.7,111.2,0.7
NOP,34,48,0.415,33.0,104.3,106.4,-1.69
DAL,33,49,0.402,34.0,97.9,100.8,-2.53
SAC,32,50,0.39,35.0,102.8,106.7,-3.29
MIN,31,51,0.378,36.0,105.6,106.7,-0.64
LAL,26,56,0.317,41.0,104.6,111.5,-6.29
PHX,24,58,0.293,43.0,107.7,113.3,-5.14
