Team,W,L,W/L%,GB,PS/G,PA/G,SRS
TOR,59,23,0.72,—,111.7,103.9,7.29
BOS,55,27,0.671,4.0,104.0,100.4,3.23
PHI,52,30,0.634,7.0,109.8,105.3,4.3
CLE,50,32,0.61,9.0,110.9,109.9,0.59
IND,48,34,0.585,11.0,105.6,104.2,1.18
MIA,44,38,0.537,15.0,103.4,102.9,0.15
MIL,44,38,0.537,15.0,106.5,106.8,-0.45
WAS,43,39,0.524,16.0,106.6,106.0,0.53
DET,39,43,0.476,20.0,103.8,103.9,-0.26
CHA,36,46,0.439,23.0,108.2,108.0,0.07
NYK,29,53,0.354,30.0,104.5,108.0,-3.53
BKN,28,54,0.341,31.0,106.6,110.3,-3.67
CHI,27,55,0.329,32.0,102.9,110.0,-6.84
ORL,25,57,0.305,34.0,103.4,108.2,-4.92
ATL,24,58,0.293,35.0,103.4,108.8,-5.3
HOU,65,17,0.793,—,112.4,103.9,8.21
GSW,58,24,0.707,7.0,113.5,107.5,5.79
POR,49,33,0.598,16.0,105.6,103.0,2.6
OKC,48,34,0.585,17.0,107.9,104.4,3.42
UTA,48,34,0.585,17.0,104.1,99.8,4.47
NOP,48,34,0.585,17.0,111.7,110.4,1.48
SAS,47,35,0.573,18.0,102.7,99.8,2.89
MIN,47,35,0.573,18.0,109.5,107.3,2.35
DEN,46,36,0.561,19.0,110.0,108.5,1.57
LAC,42,40,0.512,23.0,109.0,109.0,0.15
LAL,35,47,0.427,30.0,108.1,109.6,-1.44
SAC,27,55,0.329,38.0,98.8,105.8,-6.6
DAL,24,58,0.293,41.0,102.3,105.4,-2.7
MEM,22,60,0.268,43.0,99.3,105.5,-5.81
PHX,21,61,0.256,44.0,103.9,113.3,-8.8
