Team,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,45,37,0.549,—,101.3,100.4,0.35
PHI,43,39,0.524,2.0,99.1,99.9,-1.07
NJN,42,40,0.512,3.0,91.4,92.9,-1.82
TOR,33,49,0.402,12.0,99.7,101.4,-1.81
NYK,33,49,0.402,12.0,97.3,99.7,-2.72
DET,54,28,0.659,—,93.3,89.5,3.31
CHI,47,35,0.573,7.0,94.5,93.4,0.65
IND,44,38,0.537,10.0,93.0,92.2,0.49
CLE,42,40,0.512,12.0,96.5,95.7,0.27
MIL,30,52,0.366,24.0,97.2,100.2,-3.09
MIA,59,23,0.72,—,101.5,95.0,5.77
WAS,45,37,0.549,14.0,100.5,100.8,-0.71
ORL,36,46,0.439,23.0,99.5,101.8,-2.52
CHA,18,64,0.22,41.0,94.3,100.2,-6.15
ATL,13,69,0.159,46.0,92.7,102.5,-9.62
SEA,52,30,0.634,—,98.9,96.6,2.59
DEN,49,33,0.598,3.0,99.5,97.5,2.23
MIN,44,38,0.537,8.0,96.8,95.3,1.73
POR,27,55,0.329,25.0,92.9,96.9,-3.45
UTA,26,56,0.317,26.0,93.0,97.3,-3.74
PHX,62,20,0.756,—,110.4,103.3,7.08
SAC,50,32,0.61,12.0,103.7,101.6,2.56
LAC,37,45,0.451,25.0,95.7,96.5,-0.47
LAL,34,48,0.415,28.0,98.7,101.7,-2.32
GSW,34,48,0.415,28.0,98.7,100.9,-1.74
SAS,59,23,0.72,—,96.2,88.4,7.84
DAL,58,24,0.707,1.0,102.5,96.8,5.86
HOU,51,31,0.622,8.0,95.1,91.0,4.27
MEM,45,37,0.549,14.0,93.4,91.1,2.64
NOH,18,64,0.22,41.0,88.4,95.5,-6.30
