Team,W,L,W/L%,GB,PS/G,PA/G,SRS
CLE,57,25,0.695,—,104.3,98.3,5.45
TOR,56,26,0.683,1.0,102.7,98.2,4.08
MIA,48,34,0.585,9.0,100.0,98.4,1.5
ATL,48,34,0.585,9.0,102.8,99.2,3.49
BOS,48,34,0.585,9.0,105.7,102.5,2.84
CHA,48,34,0.585,9.0,103.4,100.7,2.36
IND,45,37,0.549,12.0,102.2,100.5,1.62
DET,44,38,0.537,13.0,102.0,101.4,0.43
CHI,42,40,0.512,15.0,101.6,103.1,-1.46
WAS,41,41,0.5,16.0,104.1,104.6,-0.5
ORL,35,47,0.427,22.0,102.1,103.7,-1.68
MIL,33,49,0.402,24.0,99.0,103.2,-3.98
NYK,32,50,0.39,25.0,98.4,101.1,-2.74
BKN,21,61,0.256,36.0,98.6,106.0,-7.12
PHI,10,72,0.122,47.0,97.4,107.6,-9.92
GSW,73,9,0.89,—,114.9,104.1,10.38
SAS,67,15,0.817,6.0,103.5,92.9,10.28
OKC,55,27,0.671,18.0,110.2,102.9,7.09
LAC,53,29,0.646,20.0,104.5,100.2,4.13
POR,44,38,0.537,29.0,105.1,104.3,0.98
DAL,42,40,0.512,31.0,102.3,102.6,-0.02
MEM,42,40,0.512,31.0,99.1,101.3,-2.14
HOU,41,41,0.5,32.0,106.5,106.4,0.34
UTA,40,42,0.488,33.0,97.7,95.9,1.84
SAC,33,49,0.402,40.0,106.6,109.1,-2.32
DEN,33,49,0.402,40.0,101.9,105.0,-2.81
NOP,30,52,0.366,43.0,102.7,106.5,-3.56
MIN,29,53,0.354,44.0,102.4,106.0,-3.38
PHX,23,59,0.28,50.0,100.9,107.5,-6.32
LAL,17,65,0.207,56.0,97.3,106.9,-8.92
